,ticker,secShortName,tradeDate,turnoverVol,turnoverValue
7710,300556,丝路视觉,2018-06-13,11501730,302808747.88
7711,300556,丝路视觉,2018-06-14,6033449,147981074.76
7712,300556,丝路视觉,2018-06-15,6060441,142173119.58
7713,300556,丝路视觉,2018-06-19,4733779,99513408.55
7714,300556,丝路视觉,2018-06-20,5441891,111833764.68
7715,300556,丝路视觉,2018-06-21,5057900,99912328.4
7716,300556,丝路视觉,2018-06-22,4374800,86247312.0
7717,300556,丝路视觉,2018-06-25,3710983,74219280.6
7718,300556,丝路视觉,2018-06-26,4886743,99100302.58
7719,300556,丝路视觉,2018-06-27,3700336,76184318.08
7720,300556,丝路视觉,2018-06-28,3034329,61817844.39
7721,300556,丝路视觉,2018-06-29,4979072,102923772.65
7722,300556,丝路视觉,2018-07-02,3801482,78566227.77
7723,300556,丝路视觉,2018-07-03,4771129,99998879.62
7724,300556,丝路视觉,2018-07-04,4416520,90853371.0
7725,300556,丝路视觉,2018-07-05,2703921,55109128.8
7726,300556,丝路视觉,2018-07-06,4390971,89825788.56
7727,300556,丝路视觉,2018-07-09,5479784,117264351.52
7728,300556,丝路视觉,2018-07-10,5696339,122342821.34
7729,300556,丝路视觉,2018-07-11,4283746,89565863.08
7730,300556,丝路视觉,2018-07-12,4449259,95496122.6
7731,300556,丝路视觉,2018-07-13,3372696,72080273.09
7732,300556,丝路视觉,2018-07-16,6980000,154617609.63
7733,300556,丝路视觉,2018-07-17,5249367,116258039.31
7734,300556,丝路视觉,2018-07-18,7026174,162684671.64
7735,300556,丝路视觉,2018-07-19,5154528,117237469.87
7736,300556,丝路视觉,2018-07-20,4435900,101852994.0
7737,300556,丝路视觉,2018-07-23,4149992,93433499.98
7738,300556,丝路视觉,2018-07-24,4185200,94386631.41
7739,300556,丝路视觉,2018-07-25,3686700,83092060.0
7740,300556,丝路视觉,2018-07-26,3862396,84086273.5
7741,300612,宣亚国际,2018-01-02,6949098,255110172.42
7742,300612,宣亚国际,2018-01-03,6627973,239805476.31
7743,300612,宣亚国际,2018-01-04,4891700,171708120.35
7744,300612,宣亚国际,2018-01-05,3289000,116400676.86
7745,300612,宣亚国际,2018-01-08,3746039,127759665.28
7746,300612,宣亚国际,2018-01-09,2478098,85520671.88
7747,300612,宣亚国际,2018-01-10,4573239,149933576.3
7748,300612,宣亚国际,2018-01-11,7768111,263317355.97
7749,300612,宣亚国际,2018-01-12,12139892,451869764.55
7750,300612,宣亚国际,2018-01-15,11453913,472863688.18
7751,300612,宣亚国际,2018-01-16,16330320,710445021.91
7752,300612,宣亚国际,2018-01-17,12960959,555979851.39
7753,300612,宣亚国际,2018-01-18,13320170,602335766.24
7754,300612,宣亚国际,2018-01-19,13391719,656565274.09
7755,300612,宣亚国际,2018-01-22,12196052,516601260.13
7756,300612,宣亚国际,2018-01-23,9611818,409501391.65
7757,300612,宣亚国际,2018-01-24,9380758,392586260.73
7758,300612,宣亚国际,2018-01-25,12159941,527760404.59
7759,300612,宣亚国际,2018-01-26,15665051,748169313.08
7760,300612,宣亚国际,2018-01-29,13485410,661658332.68
7761,300612,宣亚国际,2018-01-30,7894524,359706684.29
7762,300612,宣亚国际,2018-01-31,10401204,486465329.65
7763,300612,宣亚国际,2018-02-01,8544642,384671650.72
7764,300612,宣亚国际,2018-02-02,9753589,419774509.91
7765,300612,宣亚国际,2018-02-05,6617125,295605288.48
7766,300612,宣亚国际,2018-02-06,6023498,242864939.48
7767,300612,宣亚国际,2018-02-07,7062734,267624439.26
7768,300612,宣亚国际,2018-02-08,6659056,252019425.59
7769,300612,宣亚国际,2018-02-09,5090864,191255175.23
7770,300612,宣亚国际,2018-02-12,3818000,141012917.94
7771,300612,宣亚国际,2018-02-13,5269100,188258869.0
7772,300612,宣亚国际,2018-02-14,3967700,127938884.0
7773,300612,宣亚国际,2018-02-22,3694051,122538990.45
7774,300612,宣亚国际,2018-02-23,4581650,162996311.5
7775,300612,宣亚国际,2018-02-26,7296451,279870316.74
7776,300612,宣亚国际,2018-02-27,7428200,293733825.48
7777,300612,宣亚国际,2018-02-28,5287801,204939843.3
7778,300612,宣亚国际,2018-03-01,5722951,219124631.56
7779,300612,宣亚国际,2018-03-02,4858816,182630830.63
7780,300612,宣亚国际,2018-03-05,5187140,202640997.44
7781,300612,宣亚国际,2018-03-06,11575626,495970203.75
7782,300612,宣亚国际,2018-03-07,10151446,478000681.32
7783,300612,宣亚国际,2018-03-08,8603181,442821498.86
7784,300612,宣亚国际,2018-03-09,13970381,763046184.29
7785,300612,宣亚国际,2018-03-12,10148349,543478925.73
7786,300612,宣亚国际,2018-03-13,11469545,623430149.05
7787,300612,宣亚国际,2018-03-14,7880978,400827511.15
7788,300612,宣亚国际,2018-03-15,8411000,426132687.0
7789,300612,宣亚国际,2018-03-16,10465378,544175281.92
7790,300612,宣亚国际,2018-03-19,11236701,622384771.44
7791,300612,宣亚国际,2018-03-20,10951282,592721198.61
7792,300612,宣亚国际,2018-03-21,10113525,538190979.9
7793,300612,宣亚国际,2018-03-22,6591685,332522472.4
7794,300612,宣亚国际,2018-03-23,6983200,322481761.6
7795,300612,宣亚国际,2018-03-26,6823730,316803320.08
7796,300612,宣亚国际,2018-03-27,9375075,475122549.85
7797,300612,宣亚国际,2018-03-28,7970725,389730449.5
7798,300612,宣亚国际,2018-03-29,5210130,253378490.4
7799,300612,宣亚国际,2018-03-30,7227533,364500786.5
7800,300612,宣亚国际,2018-04-02,6170999,311022040.28
7801,300612,宣亚国际,2018-04-03,5527690,270950918.7
7802,300612,宣亚国际,2018-04-04,5123299,259802112.66
7803,300612,宣亚国际,2018-04-09,5343099,268990737.58
7804,300612,宣亚国际,2018-04-10,9654863,503877442.47
7805,300612,宣亚国际,2018-04-11,8160173,433099473.44
7806,300612,宣亚国际,2018-04-12,5931651,306407559.18
7807,300612,宣亚国际,2018-04-13,4896670,249377635.7
7808,300612,宣亚国际,2018-04-16,3920950,185617182.94
7809,300612,宣亚国际,2018-04-17,3919951,178637557.9
7810,300612,宣亚国际,2018-04-18,4271551,188371188.08
7811,300612,宣亚国际,2018-04-19,3377741,150478723.95
7812,300612,宣亚国际,2018-04-20,5257749,248489814.83
7813,300612,宣亚国际,2018-04-23,8404950,414771185.13
7814,300612,宣亚国际,2018-04-24,5849090,278028087.81
7815,300612,宣亚国际,2018-04-25,4103221,196119904.09
7816,300612,宣亚国际,2018-04-26,4535199,204107186.46
7817,300612,宣亚国际,2018-04-27,2690999,117798363.09
7818,300612,宣亚国际,2018-05-02,1857700,80987708.5
7819,300612,宣亚国际,2018-05-03,2733509,119740532.78
7820,300612,宣亚国际,2018-05-04,3921559,180702698.5
7821,300612,宣亚国际,2018-05-07,2813350,127606451.3
7822,300612,宣亚国际,2018-05-08,4079450,189738160.1
7823,300612,宣亚国际,2018-05-09,2892136,133036446.97
7824,300612,宣亚国际,2018-05-10,4464089,212845844.96
7825,300612,宣亚国际,2018-05-11,6362775,310252731.0
7826,300612,宣亚国际,2018-05-14,4636227,212943388.23
7827,300612,宣亚国际,2018-05-15,2881818,129109688.91
7828,300612,宣亚国际,2018-05-16,2430308,110094860.96
7829,300612,宣亚国际,2018-05-17,2189450,98793112.5
7830,300612,宣亚国际,2018-05-18,2379010,105354530.4
7831,300612,宣亚国际,2018-05-21,3225608,147352911.88
7832,300612,宣亚国际,2018-05-22,5175682,244523988.04
7833,300612,宣亚国际,2018-05-23,3411441,160715786.59
7834,300612,宣亚国际,2018-05-24,5445418,263102187.26
7835,300612,宣亚国际,2018-05-25,3203539,148819468.94
7836,300612,宣亚国际,2018-05-28,4775364,227872163.29
7837,300612,宣亚国际,2018-05-29,4465784,210683775.82
7838,300612,宣亚国际,2018-05-30,3796658,164053538.4
7839,300612,宣亚国际,2018-05-31,5256336,144028014.14
7840,300612,宣亚国际,2018-06-01,6506318,164481119.06
7841,300612,宣亚国际,2018-06-04,3854691,96605882.91
7842,300612,宣亚国际,2018-06-05,3510338,92545321.92
7843,300612,宣亚国际,2018-06-06,8366967,235814549.14
7844,300612,宣亚国际,2018-06-07,7154949,196316972.64
7845,300612,宣亚国际,2018-06-08,6017583,168139845.03
7846,300612,宣亚国际,2018-06-11,4909920,135131241.99
7847,300612,宣亚国际,2018-06-12,3880701,106779737.89
7848,300612,宣亚国际,2018-06-13,6837776,193077223.53
7849,300612,宣亚国际,2018-06-14,4269834,116726340.69
7850,300612,宣亚国际,2018-06-15,5032052,129773673.62
7851,300612,宣亚国际,2018-06-19,3740953,85916330.09
7852,300612,宣亚国际,2018-06-20,4074115,91304991.5
7853,300612,宣亚国际,2018-06-21,6754681,160473418.4
7854,300612,宣亚国际,2018-06-22,5513491,129437455.6
7855,300612,宣亚国际,2018-06-25,5130918,124337504.11
7856,300612,宣亚国际,2018-06-26,4509277,109026076.06
7857,300612,宣亚国际,2018-06-27,3977313,96472442.22
7858,300612,宣亚国际,2018-06-28,4046573,96618931.3
7859,300612,宣亚国际,2018-06-29,5645493,136155685.6
7860,300612,宣亚国际,2018-07-02,5579028,137791950.49
7861,300612,宣亚国际,2018-07-03,5113412,124769978.68
7862,300612,宣亚国际,2018-07-04,4964078,117366321.87
7863,300612,宣亚国际,2018-07-05,3152873,71859708.09
7864,300612,宣亚国际,2018-07-06,3300958,73909653.11
7865,300612,宣亚国际,2018-07-09,3074635,70332644.22
7866,300612,宣亚国际,2018-07-10,6393150,155418823.68
7867,300612,宣亚国际,2018-07-11,7581091,186947194.69
7868,300612,宣亚国际,2018-07-12,7438808,186876697.41
7869,300612,宣亚国际,2018-07-13,7343878,175607086.68
7870,300612,宣亚国际,2018-07-16,9743623,247051034.32
7871,300612,宣亚国际,2018-07-17,5862990,144857834.19
7872,300612,宣亚国际,2018-07-18,5820300,147155935.16
7873,300612,宣亚国际,2018-07-19,4173725,101595578.7
7874,300612,宣亚国际,2018-07-20,3763950,90560151.25
7875,300612,宣亚国际,2018-07-23,4018325,99093699.25
7876,300612,宣亚国际,2018-07-24,6066501,150881087.67
7877,300612,宣亚国际,2018-07-25,4461933,111619001.56
7878,300612,宣亚国际,2018-07-26,4425028,110450490.22
7879,300615,欣天科技,2018-01-02,992200,31776555.0
7880,300615,欣天科技,2018-01-03,1788552,57828543.2
7881,300615,欣天科技,2018-01-04,1114552,35731367.08
7882,300615,欣天科技,2018-01-05,807500,25756934.0
7883,300615,欣天科技,2018-01-08,1021952,31599815.16
7884,300615,欣天科技,2018-01-09,657200,20494294.0
7885,300615,欣天科技,2018-01-10,535300,16498758.0
7886,300615,欣天科技,2018-01-11,833500,26181560.0
7887,300615,欣天科技,2018-01-12,1692100,54521488.0
7888,300615,欣天科技,2018-01-15,1188100,35991150.0
7889,300615,欣天科技,2018-01-16,579500,17390082.0
7890,300615,欣天科技,2018-01-17,725400,22050633.0
7891,300615,欣天科技,2018-01-18,595700,18009636.0
7892,300615,欣天科技,2018-01-19,693300,20744575.0
7893,300615,欣天科技,2018-01-22,1083300,31098625.0
7894,300615,欣天科技,2018-01-23,501900,14515330.0
7895,300615,欣天科技,2018-01-24,629300,18307919.0
7896,300615,欣天科技,2018-01-25,716009,20976540.78
7897,300615,欣天科技,2018-01-26,684400,19652977.0
7898,300615,欣天科技,2018-01-29,557600,15788068.0
7899,300615,欣天科技,2018-01-30,348200,9794080.0
7900,300615,欣天科技,2018-01-31,977600,25933795.0
7901,300615,欣天科技,2018-02-01,713400,17794974.0
7902,300615,欣天科技,2018-02-02,367000,8790136.0
7903,300615,欣天科技,2018-02-05,402700,9414702.0
7904,300615,欣天科技,2018-02-06,628400,13900194.0
7905,300615,欣天科技,2018-02-07,581600,12511953.0
7906,300615,欣天科技,2018-02-08,621600,13776150.0
7907,300615,欣天科技,2018-02-09,518400,11204623.0
7908,300615,欣天科技,2018-02-12,353500,7694515.0
