('昨晚美股大涨，今日A股高开，给机会我平盘卖了阿石，没赚钱，盛路通信打了点底仓。', '2018-04-12 21:57:44')
('医药板块终于忍不住了，股价成功飙涨而上：柯蓝软件 民德电子 合$精准信息 sz300099$ $盛路通信 sz002446$ $城市传媒 sh600229$ 颂娟评股的...', '2018-04-12 01:59:23')
('11:21 5G板块再度异动，龙头吉大通信直线封板，中通国脉、盛路通信、东土科技、科信技术小幅拉升', '2018-04-12 01:11:25')
('#盛路通信 sz002446[股票]# 该股明日上方重要的压力位在9.20位置，关注此位置是否出现放量突破走势！', '2018-04-09 20:50:46')
('发布了头条文章：《盛路通信002446：庄家多次布局，主力重金锁仓，有望荣登18年妖王宝》 #盛路通信 sz002446[股票]# #乐视网 sz300104[股票]# #今日话题# #明日头条征文# |盛路通信00...', '2018-04-08 01:31:27')
('发布了头条文章：《重磅消息：新北洋+紫光国芯+盛路通信，下周详细操作策略》 $新北洋 sz002376$ +$紫光国芯 sz002049$ +$盛路通信 sz002446$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-04-07 23:11:18')
('#盘中热点# #股市板块#1、【雄安概念股集体拉升】截至发稿，冀东装备、河北宣工、韩建河山、丝路视觉、中设股份、保变电气、京汉股份等个股集体拉升。2、【5G概念股持续走强】科信技术、润建通信、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。', '2018-03-30 02:13:58')
('13:23下午开盘创业板指数继续不断创出今日分时新高。中小创股的强势不改！现在市场的炒作风口就是这13:585G概念股持续走强。科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。', '2018-03-30 02:04:08')
('5G概念股午后持续走强 科信技术直线封板5G概念股持续走强。截至发稿，科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。在2018云栖大会-深圳峰会物联网专场上，阿里云与中国联通正式宣布达成产品合作。中国联通将结合阿里云的创新物联网安全技术， ...展开全文c', '2018-03-30 01:56:06')
('5G概念股持续走强，科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。随着5G产业链各方在技术、网络环境、硬件条件、行业应用等环节的积极部署，不仅行业未来竞争格局正开始显现， 5G为人生活带来的改变也将更加为人所知，5G带来的改变并不至于对普通 ...展开全文c', '2018-03-30 01:50:09')
('#股市老枪##解盘# 13： 42 5G概念股持续走强。科信技术、超讯通信、华脉科技、纵横通信、铭普光磁、大唐电信、吉大通信、盛路通信等个股集体拉升。', '2018-03-30 01:41:28')
('3月27日#集微早报# |士兰微2017...★士兰微2017年净利增长77%，集成电路白电产品获突破★信维通信一季度净利达2亿，预增约五成★美图公司：2017年经调整净亏损同比下降91.5%★强化军工布局，盛路通信拟收购创达电子100%股权★晶瑞股份去年净利增长6.7%，毛利下滑★电连技术：控股股东提议20 ...展开全文c', '2018-03-26 20:05:03')
