('这票，你们怎么理解？（注意，我谈到的股票，皆非推荐）我这一直显示它最近异常，这只是软件自动锁定的异常股票，拿出来仅是供大家讨论，毕竟总有人能提供点有价值的信息，当然，没有反馈也是信息。', '2018-06-22 03:48:48')
('美亚太稳了，主仓位适合我这个平时不能盯盘的//@H大宝:这个有点弱，我考虑都换成美亚光电//@小叮咛弎月笙:宝哥 我想问一下佳都怎么看 是割肉换股呢还是躺着等它回本', '2018-06-19 23:31:10')
('我不会空仓，我选的都是穿越牛熊的好票。自己买的股，自己分析，亏了就是自己研究功课没做好，赚了就是自己研究对了。有很多人，刚进股市，今天追一个概念股，明天追一个新的概念股。其实对于身经百战的人来说，熊市里一年30%足矣。不停的去追不同的概念股，说明你的股龄还不够成熟，就算你一年抓了三 ...展开全文c', '2018-06-21 22:57:43')
('从技术上看，创业板来到了，下降趋势的下轨附近了，系度线，月线，周线，日线，全部超跌，反弹概率越来越大了。除了指数之外，开始筛选一些，有有资金关照的股票，形态还不错的，放入股票池。合兴包装，华新水泥，柳钢股份，永东股份，美亚光电；介入点还是按照5日线走平，或者拐点向上；止损止盈可 ...展开全文c', '2018-06-21 20:07:06')
('美亚光电 昨天金针探到60日线，今天拉红。趋势和图形很漂亮。', '2018-06-20 02:19:12')
('#国芳集团 sh601086[股票]# 9.48元！#美亚光电 sz002690[股票]# 21.8元！收工！', '2018-06-14 22:12:37')
('发布了头条文章：《美亚光电002690 ：新一轮回调趋势震撼来袭，站稳此点必将再度爆发》 $美亚光电 sz002690$ #美亚光电 sz002690[股票]#股票分析[超话]#热门股票点评#热门股票推荐#微博股票热议榜# |美亚光电00...', '2018-06-14 04:39:39')
('红宇新材 宇顺电子 深深宝 会场通讯 美亚光电 |温州·双屿', '2018-06-13 09:45:46')
('没办法的事，讲三只，有一只翻倍三分之一的命中率都得挨骂。美亚光电去年有个人天天评论里骂我喷人，劝也不听割肉在地板。美亚光电现在的走势至少排前A股100名，而且是两年内新高，算今年的牛股了。和美亚一起的天奇，16发到微博里，扬要退市一度跌到11后来半年时间涨到19元。', '2018-06-10 22:05:28')
('牛短熊长里，这年头买到牛股的概率很小。只买一只，风险很大。比如，生三个孩子总有一个有出息的。小姑娘谈交三个男朋友，肯定有两渣的。所以记得分仓，分散持股。我曾经去年一次说了三只，东方电缆，青岛双星，银龙股份。说好了三只都买，分仓拿两个月。而大家一看都不起眼，就都不买。看银龙大涨了， ...展开全文c', '2018-06-13 05:02:14')
('美亚光电 打下来 还可以买，虽然他隶属工业机械，但是他的产品是口腔X光机。属于医药器械方面。', '2018-06-12 23:09:34')
('发布了头条文章：《主力最新阴谋揭露：安科生物+欧浦智网+美亚光电》 |主力最新阴...', '2018-06-12 02:27:06')
('发布了头条文章：《002690 美亚光电：黑马被严重低估，开始绝地反击!》 \ue627 短线牛股 \ue627 股票推荐 $美亚光电 sz002690$ |002690 美...', '2018-06-10 06:08:40')
