('发布了头条文章：《下周关键走势揭秘：锌业股份 中核科技 甘肃电投 岳阳兴长》 $锌业股份 sz000751$ $中核科技 sz000777$ $甘肃电投 sz000791$ $岳阳兴长 sz000819$ |下周关键走...', '2018-05-11 05:42:52')
('$中核科技(000777)$当前走势很弱，价格受20，60日均线的压制，量能低迷，暂无行情。仅供参考', '2018-05-10 20:34:42')
('发布了头条文章：《000777 中核科技：主力资金跑步进场，促成暴涨新妖王！》 #财经头条文章# #股票分析# $中核科技 sz000777$ |000777 中...', '2018-05-07 05:57:16')
('泵阀类行业的利润率不高，需要谨慎。比如中核科技（中核苏阀）', '2018-05-06 10:05:44')
('有朋友问我为什么看中应流股份，因为我调研的时候除了制造能力以外，还看到他所服务的对象都是一流装备制造企业，比如通用电气、西门子、山特维克、上海电气、霍尼韦尔，而且业务相对分散，不过分依赖某个行业或企业。有研究机构将之文雅的称为：往来无白丁。', '2018-05-06 11:43:59')
('中国核电、中核科技、东方锆业三兄弟同属中核工业集团旗下上市公司，也是跌得没完没了。', '2018-05-04 02:39:25')
('【三代核电将进入批量建设阶段 9只成长股迎“升”机】可关注技术领先、供货业绩优异的设备制造企业，相关公司有东方电气、上海电气、台海核电、江苏神通、中核科技、纽威股份、盾安环境、南风股份；业绩确定性最高的工程建设企业，相关公司有中国核建；成长性较强的核燃料循环企业，相关公司有应流股份 ...展开全文c', '2018-04-26 21:15:03')
('发布了头条文章：《A股最新走势曝光：华平股份+中核科技+京能电力》 |A股最新走...', '2018-04-26 05:38:50')
('现在对着一版绿，已经看开了。只是中核科技真的扎我的心', '2018-04-20 02:53:14')
('东航和中车终于把所有人都埋在股市里，沪深300的隧道股份，中核科技，中国电建，中国中铁，中冶股份，中国建筑。。。把投资者全部深埋，如果没有外资进来解放，党是见过长征大世面的。', '2018-04-18 01:08:07')
('明天4月19日如果有魔咒，大概率发生在航空股和保险股身上，特别要规避三大航空和五大保险。', '2018-04-19 23:28:36')
('发布了头条文章：《000777中核科技：庄家重仓“围剿”突破，游资满仓增持！》 #股票分析# #投资达人说# #财经头条文章# $上证指数 sh000001$ $中核科技 sz000777$ |000777中核...', '2018-04-16 02:34:44')
('发布了头条文章：《重磅消息：江南化工+应流股份+中核科技，本周详细操作策略》 $江南化工 sz002226$ +$应流股份 sh603308$ +$中核科技 sz000777$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-04-14 07:58:43')
('个股利空：海马汽车、闽东电力、京汉股份、中核科技、津滨发展、天首发展、双成药业一季报预亏；穗恒运A、新乡化纤、苏常柴A、华意压缩、冀东装备、广聚能源、高升控股、英派斯、华锦股份一季报预降；泛海控股、康盛股份终止重大资产重组；江南化工发生恶性运输事故；中毅达因虚增营业收入和利润遭证监 ...展开全文c', '2018-04-12 21:43:03')
('$诚迈科技 sz300598$ $贵州茅台 sh600519$ $贵州燃气 sh600903$ $七一二 sh603712$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票个股利空：海马汽车 000572 、闽东电力、京汉股份、中核科技、津滨发展、天首发展、双成药业一季报预亏；穗恒运A、新乡化纤、苏常柴A、华意压缩、冀东装备、广 ...展开全文c', '2018-04-12 20:59:39')
('核电板块异动，$中国核建 sh601611$ 、$中核科技 sz000777$ 、$沃尔核材 sz002130$ 等均出现一根线拉回升，还需要补力。去突破趋势线压力线。', '2018-04-12 02:20:18')
('#盘前必读# 核电：三代核电项目的审批有望重启相关个股：中核科技、应流股份新能源车：销量快速增长 上游龙头公司业绩大增相关个股：寒锐钴业、先导智能、当升科技医疗：国家卫生健康委员会发文 优先做好家庭医生签约服务相关个股：华平股份、九安医疗维生素A：价格上涨有望再次冲刺千元大关 ...展开全文c', '2018-04-11 21:14:06')
